Year,Event,Category,Unit,Value
2020,Death due to fire,St Ann,Number,3
2021,Death due to fire,St Ann,Number,5
2022,Death due to fire,St Ann,Number,2
2023,Death due to fire,St Ann,Number,2
2020,Death due to fire,Trelawny,Number,1
2021,Death due to fire,Trelawny,Number,0
2022,Death due to fire,Trelawny,Number,1
2023,Death due to fire,Trelawny,Number,0
2020,Death due to fire,St James,Number,4
2021,Death due to fire,St James,Number,3
2022,Death due to fire,St James,Number,8
2023,Death due to fire,St James,Number,6
2020,Death due to fire,Hanover,Number,0
2021,Death due to fire,Hanover,Number,2
2022,Death due to fire,Hanover,Number,0
2023,Death due to fire,Hanover,Number,0
2020,Death due to fire,Westmoreland,Number,1
2021,Death due to fire,Westmoreland,Number,5
2022,Death due to fire,Westmoreland,Number,5
2023,Death due to fire,Westmoreland,Number,4
2020,Death due to fire,St Elizabeth,Number,3
2021,Death due to fire,St Elizabeth,Number,0
2022,Death due to fire,St Elizabeth,Number,6
2023,Death due to fire,St Elizabeth,Number,3
2020,Death due to fire,Manchester,Number,3
2021,Death due to fire,Manchester,Number,6
2022,Death due to fire,Manchester,Number,4
2023,Death due to fire,Manchester,Number,0
2020,Death due to fire,Clarendon,Number,0
2021,Death due to fire,Clarendon,Number,0
2022,Death due to fire,Clarendon,Number,1
2023,Death due to fire,Clarendon,Number,4
2020,Death due to fire,St Catherine,Number,4
2021,Death due to fire,St Catherine,Number,0
2022,Death due to fire,St Catherine,Number,3
2023,Death due to fire,St Catherine,Number,2
2020,Death due to fire,Total,Number,35
2021,Death due to fire,Total,Number,31
2022,Death due to fire,Total,Number,42
2023,Death due to fire,Total,Number,24
2020,Injuries due to fire,Kingston and St. Andrew,Number,30
2021,Injuries due to fire,Kingston and St. Andrew,Number,31
2022,Injuries due to fire,Kingston and St. Andrew,Number,24
2023,Injuries due to fire,Kingston and St. Andrew,Number,14
2020,Injuries due to fire,St. Thomas,Number,0
2021,Injuries due to fire,St. Thomas,Number,0
2022,Injuries due to fire,St. Thomas,Number,0
2023,Injuries due to fire,St. Thomas,Number,1
2020,Injuries due to fire,Portland,Number,1
2021,Injuries due to fire,Portland,Number,0
2022,Injuries due to fire,Portland,Number,1
2023,Injuries due to fire,Portland,Number,4
2020,Injuries due to fire,St Mary,Number,0
2021,Injuries due to fire,St Mary,Number,4
2022,Injuries due to fire,St Mary,Number,0
2023,Injuries due to fire,St Mary,Number,2
2020,Injuries due to fire,St Ann,Number,5
2021,Injuries due to fire,St Ann,Number,0
2022,Injuries due to fire,St Ann,Number,2
2023,Injuries due to fire,St Ann,Number,2
2020,Injuries due to fire,Trelawny,Number,3
2021,Injuries due to fire,Trelawny,Number,0
2022,Injuries due to fire,Trelawny,Number,0
2023,Injuries due to fire,Trelawny,Number,6
2020,Injuries due to fire,St James,Number,10
2021,Injuries due to fire,St James,Number,21
2022,Injuries due to fire,St James,Number,16
2023,Injuries due to fire,St James,Number,4
2020,Injuries due to fire,Hanover,Number,2
2021,Injuries due to fire,Hanover,Number,1
2022,Injuries due to fire,Hanover,Number,1
2023,Injuries due to fire,Hanover,Number,0
2020,Injuries due to fire,Westmoreland,Number,3
2021,Injuries due to fire,Westmoreland,Number,4
2022,Injuries due to fire,Westmoreland,Number,11
2023,Injuries due to fire,Westmoreland,Number,8
2020,Injuries due to fire,St Elizabeth,Number,0
2021,Injuries due to fire,St Elizabeth,Number,1
2022,Injuries due to fire,St Elizabeth,Number,5
2023,Injuries due to fire,St Elizabeth,Number,7
2020,Injuries due to fire,Manchester,Number,1
2021,Injuries due to fire,Manchester,Number,14
2022,Injuries due to fire,Manchester,Number,22
2023,Injuries due to fire,Manchester,Number,1
2020,Injuries due to fire,Clarendon,Number,0
2021,Injuries due to fire,Clarendon,Number,0
2022,Injuries due to fire,Clarendon,Number,0
2023,Injuries due to fire,Clarendon,Number,0
2020,Injuries due to fire,St Catherine,Number,5
2021,Injuries due to fire,St Catherine,Number,13
2022,Injuries due to fire,St Catherine,Number,4
2023,Injuries due to fire,St Catherine,Number,0
2020,Injuries due to fire,Total,Number,60
2021,Injuries due to fire,Total,Number,89
2022,Injuries due to fire,Total,Number,86
2023,Injuries due to fire,Total,Number,49
2020,Homeless due to fire,Kingston and St. Andrew,Number,890
2021,Homeless due to fire,Kingston and St. Andrew,Number,733
2022,Homeless due to fire,Kingston and St. Andrew,Number,633
2023,Homeless due to fire,Kingston and St. Andrew,Number,605
2020,Homeless due to fire,St. Thomas,Number,25
2021,Homeless due to fire,St. Thomas,Number,55
2022,Homeless due to fire,St. Thomas,Number,36
2023,Homeless due to fire,St. Thomas,Number,68
2020,Homeless due to fire,Portland,Number,81
2021,Homeless due to fire,Portland,Number,48
2022,Homeless due to fire,Portland,Number,84
2023,Homeless due to fire,Portland,Number,47
2020,Homeless due to fire,St Mary,Number,56
2021,Homeless due to fire,St Mary,Number,48
2022,Homeless due to fire,St Mary,Number,87
2023,Homeless due to fire,St Mary,Number,89
2020,Homeless due to fire,St Ann,Number,182
2021,Homeless due to fire,St Ann,Number,59
2022,Homeless due to fire,St Ann,Number,63
2023,Homeless due to fire,St Ann,Number,106
2020,Homeless due to fire,Trelawny,Number,41
2021,Homeless due to fire,Trelawny,Number,29
2022,Homeless due to fire,Trelawny,Number,32
2023,Homeless due to fire,Trelawny,Number,61
2020,Homeless due to fire,St James,Number,161
2021,Homeless due to fire,St James,Number,133
2022,Homeless due to fire,St James,Number,198
2023,Homeless due to fire,St James,Number,139
2020,Homeless due to fire,Hanover,Number,51
2021,Homeless due to fire,Hanover,Number,35
2022,Homeless due to fire,Hanover,Number,33
2023,Homeless due to fire,Hanover,Number,26
2020,Homeless due to fire,Westmoreland,Number,110
2021,Homeless due to fire,Westmoreland,Number,117
2022,Homeless due to fire,Westmoreland,Number,123
2023,Homeless due to fire,Westmoreland,Number,208
2020,Homeless due to fire,St Elizabeth,Number,127
2021,Homeless due to fire,St Elizabeth,Number,68
2022,Homeless due to fire,St Elizabeth,Number,55
2023,Homeless due to fire,St Elizabeth,Number,56
2020,Homeless due to fire,Manchester,Number,94
2021,Homeless due to fire,Manchester,Number,100
2022,Homeless due to fire,Manchester,Number,119
2023,Homeless due to fire,Manchester,Number,81
2020,Homeless due to fire,Clarendon,Number,105
2021,Homeless due to fire,Clarendon,Number,101
2022,Homeless due to fire,Clarendon,Number,145
2023,Homeless due to fire,Clarendon,Number,82
2020,Homeless due to fire,St Catherine,Number,394
2021,Homeless due to fire,St Catherine,Number,150
2022,Homeless due to fire,St Catherine,Number,165
2023,Homeless due to fire,St Catherine,Number,178
2020,Homeless due to fire,Total,Number,2317
2021,Homeless due to fire,Total,Number,1676
2022,Homeless due to fire,Total,Number,1773
2023,Homeless due to fire,Total,Number,1746
2020,Homeless Adults due to fire,Total Adults,Number,1532
2021,Homeless Adults due to fire,Total Adults,Number,1194
2022,Homeless Adults due to fire,Total Adults,Number,1271
2023,Homeless Adults due to fire,Total Adults,Number,1215
2020,Homeless Children due to fire,Total Children,Number,785
2021,Homeless Children due to fire,Total Children,Number,482
2022,Homeless Children due to fire,Total Children,Number,502
2023,Homeless Children due to fire,Total Children,Number,531
2020,Injuried Adults due to fire,Total Adults,Number,58
2021,Injuried Adults due to fire,Total Adults,Number,72
2022,Injuried Adults due to fire,Total Adults,Number,82
2023,Injuried Adults due to fire,Total Adults,Number,47
2020,Injuries Children due to fire,Total Children,Number,2
2021,Injuries Children due to fire,Total Children,Number,17
2022,Injuries Children due to fire,Total Children,Number,4
2023,Injuries Children due to fire,Total Children,Number,2
2020,Death of Adults due to Fire,Total Adults,Number,28
2021,Death of Adults due to Fire,Total Adults,Number,28
2022,Death of Adults due to Fire,Total Adults,Number,39
2023,Death of Adults due to Fire,Total Adults,Number,17
2020,Death of Children due to Fire,Total Children,Number,7
2021,Death of Children due to Fire,Total Children,Number,3
2022,Death of Children due to Fire,Total Children,Number,3
2023,Death of Children due to Fire,Total Children,Number,7
2017,Total number of homeless due to fire,Jamaica,Number,2136
2018,Total number of homeless due to fire,Jamaica,Number,2104
2019,Total number of homeless due to fire,Jamaica,Number,2390
2020,Total number of homeless due to fire,Jamaica,Number,2338
2021,Total number of homeless due to fire,Jamaica,Number,2317
2022,Total number of homeless due to fire,Jamaica,Number,1676
2023,Total number of homeless due to fire,Jamaica,Number,1773
1999/00,Total number of homeless due to fire,Jamaica,Number,1746
2017,Injuries due to fire,Jamaica,Number,87
2018,Injuries due to fire,Jamaica,Number,90
2019,Injuries due to fire,Jamaica,Number,75
2020,Injuries due to fire,Jamaica,Number,97
2021,Injuries due to fire,Jamaica,Number,60
2022,Injuries due to fire,Jamaica,Number,89
2023,Injuries due to fire,Jamaica,Number,86
1999/00,Injuries due to fire,Jamaica,Number,49
2017,Death due to Fire,Jamaica,Number,22
2018,Death due to Fire,Jamaica,Number,38
2019,Death due to Fire,Jamaica,Number,25
2020,Death due to Fire,Jamaica,Number,39
2021,Death due to Fire,Jamaica,Number,35
2022,Death due to Fire,Jamaica,Number,31
2023,Death due to Fire,Jamaica,Number,42
1999/00,Death due to Fire,Jamaica,Number,24
2017,Total Number of Persons Affected,Jamaica,Number,2245
2018,Total Number of Persons Affected,Jamaica,Number,2232
2019,Total Number of Persons Affected,Jamaica,Number,2490
2020,Total Number of Persons Affected,Jamaica,Number,2474
2021,Total Number of Persons Affected,Jamaica,Number,2412
2022,Total Number of Persons Affected,Jamaica,Number,1796
2023,Total Number of Persons Affected,Jamaica,Number,1901
1999/00,Total Number of Persons Affected,Jamaica,Number,1819
2017,Persons affected per 100000 population,Jamaica,per 100000 population,82.2
2018,Persons affected per 100000 population,Jamaica,per 100000 population,81.7
2019,Persons affected per 100000 population,Jamaica,per 100000 population,91.1
2020,Persons affected per 100000 population,Jamaica,per 100000 population,90.5
2021,Persons affected per 100000 population,Jamaica,per 100000 population,88.3
2022,Persons affected per 100000 population,Jamaica,per 100000 population,65.7
2023,Persons affected per 100000 population,Jamaica,per 100000 population,69.6
1999/00,Persons affected per 100000 population,Jamaica,per 100000 population,66.6
2017,Persons injured due to fire per 100000,Jamaica,per 100000 population,3.2
2018,Persons injured due to fire per 100000,Jamaica,per 100000 population,3.3
2019,Persons injured due to fire per 100000,Jamaica,per 100000 population,2.7
2020,Persons injured due to fire per 100000,Jamaica,per 100000 population,3.5
2021,Persons injured due to fire per 100000,Jamaica,per 100000 population,2.2
2022,Persons injured due to fire per 100000,Jamaica,per 100000 population,3.3
2023,Persons injured due to fire per 100000,Jamaica,per 100000 population,3.1
1999/00,Persons injured due to fire per 100000,Jamaica,per 100000 population,1.8
2017,Deaths from fire per 100000 population,Jamaica,per 100000 population,0.8
2018,Deaths from fire per 100000 population,Jamaica,per 100000 population,1.4
2019,Deaths from fire per 100000 population,Jamaica,per 100000 population,0.9
2020,Deaths from fire per 100000 population,Jamaica,per 100000 population,1.4
2021,Deaths from fire per 100000 population,Jamaica,per 100000 population,1.3
2022,Deaths from fire per 100000 population,Jamaica,per 100000 population,1.1
2023,Deaths from fire per 100000 population,Jamaica,per 100000 population,1.5
1999/00,Deaths from fire per 100000 population,Jamaica,per 100000 population,0.9
2023,Drought,Cost,($JB),0.73
2001,Hurricane Michelle,Cost,($JB),2.52
2001,Hurricane Michelle,Impact,(% GDP),0.8
2002,May/June Flood Rains,Cost,($JB),2.47
2002,May/June Flood Rains,Impact,(% GDP),0.7
2004,Hurricane Charley,Cost,($JB),0.44
2004,Hurricane Charley,Impact,(% GDP),0.02
2004,Hurricane Ivan,Cost,($JB),36.9
2004,Hurricane Ivan,Impact,(% GDP),8
2005,Hurricanes Dennis and Emily,Cost,($JB),5.98
2005,Hurricane Dennis and Emily,Impact,(% GDP),1.2
2005,Hurricane Wilma,Cost,($JB),3.6
2005,Hurricane Wilma,Impact,(% GDP),0.7
2005,Drought,Cost,($JB),0.52
2007,Hurricane Dean,Cost,($JB),23.8
2007,Hurricane Dean,Impact,(% GDP),3.4
1999-2017,Tropical Storm Gustav,Cost,($JB),15.5
1999-2017,Tropical Storm Gustav,Impact,(% GDP),2
1999-2017,Drought,Cost,($JB),0.04
2010,Tropical Storm Nicole,Cost,($JB),20.6
2010,Tropical Storm Nicole,Impact,(% GDP),1.9
2012,Hurricane Sandy,Cost,($JB),9.9
2012,Hurricane Sandy,Impact,(% GDP),0.8
2014,Drought,Cost,($JB),0.9
2017,May Flood Rains,Cost,($JB),4.05
2017,May Flood Rains,Impact,(% GDP),0.2
1999-2017,Average,Cost,($JB),8.53
1999-2017,Average,Impact,(% GDP),1.8
